CPTCode,CPTLongDesc
0005U,"Oncology (prostate) gene expression profile by real-time RT-PCR of 3 genes (ERG, PCA3, and SPDEF), urine, algorithm reported as risk score"
0006F,"STATIN THERAPY, PRESCRIBED"
0006M,"Oncology (hepatic), mRNA expression levels of 161 genes, utilizing fresh hepatocellular carcinoma tumor tissue, with alpha-fetoprotein level, algorithm reported as a risk classifier"
0006T,PERC CATH STENT/BRAIN CV ART
0006U,"Detection of interacting medications, substances, supplements and foods, 120 or more analytes, definitive chromatography with mass spectrometry, urine, description and severity of each interaction identified, per date of service"
0007F,BETA-BLOCKER THX PRESCRIBED
0007M,"Oncology (gastrointestinal neuroendocrine tumors), real-time PCR expression analysis of 51 genes, utilizing whole peripheral blood, algorithm reported as a nomogram of tumor disease index"
0007T,PERC CATH STENT/BRAIN CV ART
0007U,"Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, includes specimen verification including DNA authentication in comparison to buccal DNA, per date of service"
0008F,ACE INHIBITOR THX PRESCRIBED
0008M,"Oncology (breast), mRNA analysis of 58 genes using hybrid capture, on formalin-fixed paraffin-embedded (FFPE) tissue, prognostic algorithm reported as a risk score"
0008T,UPR GI W/ESOPH DUO&/JEJUN W/SUTR ESOPG/GASTRIC
0008U,"Helicobacter pylori detection and antibiotic resistance, DNA, 16S and 23S rRNA, gyrA, pbp1, rdxA and rpoB, next generation sequencing, formalin-fixed paraffin-embedded or fresh tissue or fecal sample, predictive, reported as positive or negative for resistance to clarithromycin, fluoroquinolones, metronidazole, amoxicillin, tetracycline, and rifabutin"
0009F,ASSESS ANGINAL SYMPTOM/LEVEL
0009M,"Fetal aneuploidy (trisomy 21, and 18) DNA sequence analysis of selected regions using maternal plasma, algorithm reported as a risk score for each trisomy"
0009T,ENDOMETRIAL CRYOABLATION
0009U,"Oncology (breast cancer), ERBB2 (HER2) copy number by FISH, tumor cells from formalin-fixed paraffin-embedded tissue isolated using image-based dielectrophoresis (DEP) sorting, reported as ERBB2 gene amplified or non-amplified"
00100,"Anesthesia for procedures on salivary glands, including biopsy"
00102,Anesthesia for procedures involving plastic repair of cleft lip
00103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
00104,Anesthesia for electroconvulsive therapy
0010F,ASSESS ANGINAL SYMPTOM/LEVEL
0010M,"Oncology (High-Grade Prostate Cancer), biochemical assay of four proteins (Total PSA, Free PSA, Intact PSA and human kallikrein 2 [hK2]) plus patient age, digital rectal examination status, and no history of positive prostate biopsy, utilizing plasma, prognostic algorithm reported as a probability score"
0010T,"TUBERCULOSIS TEST, CELL MEDIATED IMMUNITY MEASUREMENT, GAMMA INTERFERON ANTIGEN"
0010U,"Infectious disease (bacterial), strain typing by whole genome sequencing, phylogenetic-based report of strain relatedness, per submitted isolate"
0011F,ORAL ANTIPLAT THX PRESCRIBED
0011M,"Oncology, prostate cancer, mRNA expression assay of 12 genes (10 content and 2 housekeeping), RT-PCR test utilizing blood plasma and urine, algorithms to predict high-grade prostate cancer risk"
0011U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites"
00120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified"
00122,DELETED CODE
00124,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy"
00126,"Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy"
0012F,Community-acquired bacterial pneumonia assessment (includes all of the following components) (CAP): Co-morbid conditions assessed (1026F) Vital signs recorded (2010F) Mental status assessed (2014F) Hydration status assessed (2018F)
0012M,"Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and XCR2), utilizing urine, algorithm reported as a risk score for having urothelial carcinoma"
0012T,OSTEOCHONDRAL KNEE AUTOGRAFT
0012U,"Germline disorders, gene rearrangement detection by whole genome next-generation sequencing, DNA, whole blood, report of specific gene rearrangement(s)"
0013M,"Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and CXCR2), utilizing urine, algorithm reported as a risk score for having recurrent urothelial carcinoma"
0013T,OSTEOCHONDRAL KNEE ALLOGRAFT
0013U,"Oncology (solid organ neoplasia), gene rearrangement detection by whole genome next-generation sequencing, DNA, fresh or frozen tissue or cells, report of specific gene rearrangement(s)"
00140,Anesthesia for procedures on eye; not otherwise specified
00142,Anesthesia for procedures on eye; lens surgery
00144,Anesthesia for procedures on eye; corneal transplant
00145,Anesthesia for procedures on eye; vitreoretinal surgery
00146,DELETED CODE
00147,Anesthesia for procedures on eye; iridectomy
00148,Anesthesia for procedures on eye; ophthalmoscopy
0014F,"Comprehensive preoperative assessment performed for cataract surgery with intraocular lens (IOL) placement (includes assessment of all of the following components) (EC): Dilated fundus evaluation performed within 12 months prior to cataract surgery (2020F) Pre-surgical (cataract) axial length, corneal power measurement and method of intraocular lens power calculation documented (must be performed within 12 months prior to surgery) (3073F) Preoperative assessment of functional or medical indication(s) for surgery prior to the cataract surgery with intraocular lens placement (must be performed within 12 months prior to cataract surgery) (3325F)"
0014T,"MENISCAL TRANSPLANT, KNEE"
0014U,"Hematology (hematolymphoid neoplasia), gene rearrangement detection by whole genome next-generation sequencing, DNA, whole blood or bone marrow, report of specific gene rearrangement(s)"
0015F,Melanoma follow up completed (includes assessment of all of the following components) (ML): History obtained regarding new or changing moles (1050F) Complete physical skin exam performed (2029F) Patient counseled to perform a monthly self skin examination (5005F)
0015U,"Drug metabolism (adverse drug reactions), DNA, 22 drug metabolism and transporter genes, real-time PCR, blood or buccal swab, genotype and metabolizer status for therapeutic decision support"
00160,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified
00162,Anesthesia for procedures on nose and accessory sinuses; radical surgery
00164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue"
0016T,"Destruction of localized lesion of choroid (eg, choroidal neovascularization), transpupillary thermotherapy"
0016U,"Oncology (hematolymphoid neoplasia), RNA, BCR/ABL1 major and minor breakpoint fusion transcripts, quantitative PCR amplification, blood or bone marrow, report of fusion not detected or detected with quantitation"
00170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified"
00172,"Anesthesia for intraoral procedures, including biopsy; repair of cleft palate"
00174,"Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor"
00176,"Anesthesia for intraoral procedures, including biopsy; radical surgery"
0017T,"Destruction of macular drusen, photocoagulation"
0017U,"Oncology (hematolymphoid neoplasia), JAK2 mutation, DNA, PCR amplification of exons 12-14 and sequence analysis, blood or bone marrow, report of JAK2 mutation not detected or detected"
0018T,DLVR HI PWR FOCAL MAG PLSS STIMJ CORTCL NEURONS
0018U,"Oncology (thyroid), microRNA profiling by RT-PCR of 10 microRNA sequences, utilizing fine needle aspirate, algorithm reported as a positive or negative result for moderate to high risk of malignancy"
00190,Anesthesia for procedures on facial bones or skull; not otherwise specified
00192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism)
0019T,"Extracorporeal shock wave involving musculoskeletal system, not otherwise specified, low energy"
0019U,"Oncology, RNA, gene expression by whole transcriptome sequencing, formalin-fixed paraffin embedded tissue or fresh frozen tissue, predictive algorithm reported as potential targets for therapeutic agents"
0020T,EXTRACORPOREAL SHOCK WAVE THERAPY; PLANTAR FASCIA
0020U,"Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, with specimen verification including DNA authentication in comparison to buccal DNA, per date of service"
00210,Anesthesia for intracranial procedures; not otherwise specified
00211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma
00212,Anesthesia for intracranial procedures; subdural taps
00214,"Anesthesia for intracranial procedures; burr holes, including ventriculography"
00215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)"
00216,Anesthesia for intracranial procedures; vascular procedures
00218,Anesthesia for intracranial procedures; procedures in sitting position
0021T,INSJ TRANSCRV/TRVG FTL OXIMTRY SENSOR
0021U,"Oncology (prostate), detection of 8 autoantibodies (ARF 6, NKX3-1, 5-UTR-BMI1, CEP 164, 3-UTR-Ropporin, Desmocollin, AURKAIP-1, CSNK2A2), multiplexed immunoassay and flow cytometry serum, algorithm reported as risk score"
00220,Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures
00222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve
0022U,"Targeted genomic sequence analysis panel, non-small cell lung neoplasia, DNA and RNA analysis, 23 genes, interrogation for sequence variants and rearrangements, reported as presence/absence of variants and associated therapy(ies) to consider"
0023T,"INFECT AGENT DRUG SUSCEPTIBILITY PHENOTYPE PREDICT, COMPARE GENOTYPIC/GENOTYPIC/PHENOTYPIC, HIV 1"
0023U,"Oncology (acute myelogenous leukemia), DNA, genotyping of internal tandem duplication, p.D835, p.I836, using mononuclear cells, reported as detection or non-detection of FLT3 mutation and indication for or against the use of midostaurin"
0024T,"Non-surgical septal reduction therapy (eg, alcohol ablation), for hypertrophic obstructive cardiomyopathy, with coronary arteriograms, with or without temporary pacemaker"
0024U,"Glycosylated acute phase proteins (GlycA), nuclear magnetic resonance spectroscopy, quantitative"
0025T,ULTRASONIC PACHYMETRY
0025U,"Tenofovir, by liquid chromatography with tandem mass spectrometry (LC-MS/MS), urine, quantitative"
0026T,"Lipoprotein, direct measurement, intermediate density lipoproteins (IDL) (remnant lipoproteins)"
0026U,"Oncology (thyroid), DNA and mRNA of 112 genes, next-generation sequencing, fine needle aspirate of thyroid nodule, algorithmic analysis reported as a categorical result (""Positive, high probability of malignancy"" or ""Negative, low probability of malignancy"")"
0027T,"Endoscopic lysis of epidural adhesions with direct visualization using mechanical means (eg, spinal endoscopic catheter system) or solution injection (eg, normal saline) including radiologic localization and epidurography"
0027U,"JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, targeted sequence analysis exons 12-15"
0028T,"Dual energy x-ray absorptiometry (DEXA) body composition study, one or more sites"
0028U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, copy number variants, common variants with reflex to targeted sequence analysis"
0029T,"Treatment(s) for incontinence, pulsed magnetic neuromodulation, per day"
0029U,"Drug metabolism (adverse drug reactions and drug response), targeted sequence analysis (ie, CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP4F2, SLCO1B1, VKORC1 and rs12777823)"
00300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"
0030T,"Antiprothrombin (phospholipid cofactor) antibody, each Ig class"
0030U,"Drug metabolism (warfarin drug response), targeted sequence analysis (ie, CYP2C9, CYP4F2, VKORC1, rs12777823)"
0031T,Speculoscopy;
0031U,"CYP1A2 (cytochrome P450 family 1, subfamily A, member 2)(eg, drug metabolism) gene analysis, common variants (ie, *1F, *1K, *6, *7)"
00320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older"
00322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"
00326,Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age
0032T,Speculoscopy; with directed sampling
0032U,"COMT (catechol-O-methyltransferase)(drug metabolism) gene analysis, c.472G>A (rs4680) variant"
0033T,"ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT; W/COVER LT SUBCLAV ART ORIG, INIT ENDOPROSTH"
0033U,"HTR2A (5-hydroxytryptamine receptor 2A), HTR2C (5-hydroxytryptamine receptor 2C) (eg, citalopram metabolism) gene analysis, common variants (ie, HTR2A rs7997012 [c.614-2211T>C], HTR2C rs3813929 [c.-759C>T] and rs1414334 [c.551-3008C>G])"
0034T,"ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT; W/O COVER LT SUBCLAV ART ORIG, INIT ENDOPROSTH"
0034U,"TPMT (thiopurine S-methyltransferase), NUDT15 (nudix hydroxylase 15)(eg, thiopurine metabolism) gene analysis, common variants (ie, TPMT *2, *3A, *3B, *3C, *4, *5, *6, *8, *12; NUDT15 *3, *4, *5)"
00350,Anesthesia for procedures on major vessels of neck; not otherwise specified
00352,Anesthesia for procedures on major vessels of neck; simple ligation
0035T,"PLACE, PROX/DIST EXTEN PROSTH, ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT; INIT EXTEN"
0035U,"Neurology (prion disease), cerebrospinal fluid, detection of prion protein by quaking-induced conformational conversion, qualitative"
0036T,"PLACE, PROX/DIST EXTEN PROSTH, ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT; EA ADD'L EXTEN"
0036U,"Exome (ie, somatic mutations); paired formalin fixed paraffin embedded tumor tissue and normal specimen, sequence analyses"
0037T,"OPEN SUBCLAVIAN-CAROTID ARTERY TRANSPOS, W/ENDOVAS THORACIC ANEURYSM REPAIR, NECK INCISION, UNILAT"
0037U,"Targeted genomic sequence analysis, solid organ neoplasm, DNA analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden"
0038T,"ENDOVS REPR, DESCND THORAC AORT ANEURYSM/DISSCT, W/COVER LT SUBCLAV ART ORG, INIT PROSTH RADIOL S&I"
0038U,"Vitamin D, 25 hydroxy D2 and D3, by LC-MS/MS, serum microsample, quantitative"
0039T,"ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT, W/O COVER LT SUBCLAV ART ORIG, RADIOLOG S&I"
0039U,"Deoxyribonucleic acid (DNA) antibody; double stranded, high avidity"
00400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified"
00402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)"
00404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast"
00406,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection"
0040T,"PLACE PROX/DIST EXTEN PROSTH, ENDOVAS REPAIR, DESCEND THORAC AORT ANEURYSM/DISSECT, RADIOL S&I"
0040U,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis, major breakpoint, quantitative"
00410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias"
0041T,"Urinalysis infectious agent detection, semi-quantitative analysis of volatile compounds"
0041U,"Borrelia burgdorferi, antibody detection of 5 recombinant protein groups, by immunoblot, IgM"
00420,"ANESTH, SKIN SURGERY, BACK"
0042T,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time"
0042U,"Borrelia burgdorferi, antibody detection of 12 recombinant protein groups, by immunoblot, IgG"
0043T,"Carbon monoxide, expired gas analysis (eg, ETCOc/hemolysis breath test)"
0043U,"Tick-Borne Relapsing Fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgM"
0044T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVUS FAMIL MLNMA
0044U,"Tick-Borne Relapsing Fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgG"
00450,Anesthesia for procedures on clavicle and scapula; not otherwise specified
00452,Anesthesia for procedures on clavicle and scapula; radical surgery
00454,Anesthesia for procedures on clavicle and scapula; biopsy of clavicle
0045T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVI PRSNL MLNMA
0045U,"Oncology (breast ductal carcinoma in situ), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score"
0046T,"Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; single duct"
0046U,"FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia) internal tandem duplication (ITD) variants, quantitative"
00470,Anesthesia for partial rib resection; not otherwise specified
00472,Anesthesia for partial rib resection; thoracoplasty (any type)
00474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)"
00476,DELETED CODE
0047T,"Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; each additional duct"
0047U,"Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score"
0048T,"Implantation of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0048U,"Oncology (solid organ neoplasia), DNA, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)"
0049T,"Prolonged extracorporeal percutaneous transseptal ventricular assist device, greater than 24 hours, each subsequent 24 hour period (List separately in addition to code for primary procedure)"
0049U,"NPM1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, quantitative"
00500,Anesthesia for all procedures on esophagus
0050T,"Removal of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0050U,"Targeted genomic sequence analysis panel, acute myelogenous leukemia, DNA analysis, 194 genes, interrogation for sequence variants, copy number variants or rearrangements"
0051T,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy
0051U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, urine, 31 drug panel, reported as quantitative results, detected or not detected, per date of service"
00520,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified
00522,Anesthesia for closed chest procedures; needle biopsy of pleura
00524,Anesthesia for closed chest procedures; pneumocentesis
00526,DELETED CODE
00528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation
00529,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation
0052T,Replacement or repair of thoracic unit of a total replacement heart system (artificial heart)
0052U,"Lipoprotein, blood, high resolution fractionation and quantitation of lipoproteins, including all five major lipoprotein classes and subclasses of HDL, LDL, and VLDL by vertical auto profile ultracentrifugation"
00530,Anesthesia for permanent transvenous pacemaker insertion
00532,Anesthesia for access to central venous circulation
00534,Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator
00537,Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation
00539,Anesthesia for tracheobronchial reconstruction
0053T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit"
0053U,"Oncology (prostate cancer), FISH analysis of 4 genes (ASAP1, HDAC9, CHD1 and PTEN), needle biopsy specimen, algorithm reported as probability of higher tumor grade"
00540,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified"
00541,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation"
00542,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication"
00544,"ANESTH, CHEST LINING REMOVAL"
00546,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty"
00548,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi"
0054T,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on fluoroscopic images (List separately in addition to code for primary procedure)"
0054U,"Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service"
00550,Anesthesia for sternal debridement
0055T,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on CT/MRI images (List separately in addition to code for primary procedure)"
0055U,"Cardiology (heart transplant), cell-free DNA, PCR assay of 96 DNA target sequences (94 single nucleotide polymorphism targets and two control targets), plasma"
00560,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator"
00561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age"
00562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation"
00563,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest"
00566,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator
00567,Anesthesia for direct coronary artery bypass grafting; with pump oxygenator
0056T,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, image-less (List separately in addition to code for primary procedure)"
0056U,"Hematology (acute myelogenous leukemia), DNA, whole genome next-generation sequencing to detect gene rearrangement(s), blood or bone marrow, report of specific gene rearrangement(s)"
0057T,UPPR GI SCOPE W/ THRML TXMNT
0057U,"Oncology (solid organ neoplasia), mRNA, gene expression profiling by massively parallel sequencing for analysis of 51 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a normalized percentile rank"
00580,Anesthesia for heart transplant or heart/lung transplant
0058T,"Cryopreservation; reproductive tissue, ovarian"
0058U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus oncoprotein (small T antigen), serum, quantitative"
0059T,Cryopreservation; oocyte(s)
0059U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus capsid protein (VP1), serum, reported as positive or negative"
00600,Anesthesia for procedures on cervical spine and cord; not otherwise specified
00604,Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position
0060T,"Electrical impedance scan of the breast, bilateral (risk assessment device for breast cancer)"
0060U,"Twin zygosity, genomic targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood"
0061T,"Destruction/reduction of malignant breast tumor including breast carcinoma cells in the margins, microwave phased array thermotherapy, disposable catheter with combined temperature monitoring probe and microwave sensor, externally applied microwave energy, including interstitial placement of sensor"
0061U,"Transcutaneous measurement of five biomarkers (tissue oxygenation [StO2], oxyhemoglobin [ctHbO2], deoxyhemoglobin [ctHbR], papillary and reticular dermal hemoglobin concentrations [ctHb1 and ctHb2]), using spatial frequency domain imaging (SFDI) and multi-spectral analysis"
00620,"Anesthesia for procedures on thoracic spine and cord, not otherwise specified"
00622,Anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy
00625,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation"
00626,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation"
0062T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; single level"
0062U,"Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score"
00630,Anesthesia for procedures in lumbar region; not otherwise specified
00632,Anesthesia for procedures in lumbar region; lumbar sympathectomy
00634,Anesthesia for procedures in lumbar region; chemonucleolysis
00635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture
0063T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; 1 or more additional levels (List separately in addition to 0062T for primary procedure)"
0063U,"Neurology (autism), 32 amines by LCMS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder"
00640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine"
0064T,"Spectroscopy, expired gas analysis (eg, nitric oxide/carbon dioxide test)"
0064U,"Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative"
00650,DELETED CODE
0065T,"Ocular photoscreening, with interpretation and report, bilateral"
0065U,"Syphilis test, non-treponemal antibody, immunoassay, qualitative (RPR)"
0066T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); screening"
0066U,"Placental alpha-micro globulin-1 (PAMG1), immunoassay with direct optical observation, cervico-vaginal fluid, each specimen"
00670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)"
0067T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); diagnostic"
0067U,"Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer protein [HEC1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score"
0068T,Acoustic heart sound recording and computer analysis; with interpretation and report
0068U,"Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species"
